"CONTACT_NAME","COMPANY_NAME","PRIMARY_ADDRESS","PRIMARY_CITY","PRIMARY_STATE","PRIMARY_ZIP_CODE","PRIMARY_ZIP4","PRIMARY_ZIP10","PRIMARY_CARRIER_ROUTE_CODE","PRIMARY_STATE_CODE","COUNTY_CODE","COUNTY_NAME","MSA_CODE","CBSA_CODE","METRO_MICRO_INDICATOR","CSA_CODE","PHONE","FAX_NUMBER","SELECTED_SIC_CODE","SELECTED_SIC_DESC","FRANCHISE_SPECIALTY_CODE_1","FRANCHISE_SPECIALTY_CODE_2","FRANCHISE_SPECIALTY_CODE_3","FRANCHISE_SPECIALTY_CODE_4","FRANCHISE_SPECIALTY_CODE_5","FRANCHISE_SPECIALTY_CODE_6","INDUSTRY_SPECIFIC_CODE","PRIMARY_SIC_CODE","SECONDARY_SIC_CODE_1","SECONDARY_SIC_CODE_2","SECONDARY_SIC_CODE_3","SECONDARY_SIC_CODE_4","NAICS_CODE","NAICS_DESC","LOCATION_EMPLOYMENT_SIZE_CODE","ACTUAL_LOCATION_EMPLOYMENT_SIZE","CORPORATE_EMPLOYMENT_SIZE_CODE","ACTUAL_CORPORATE_EMPLOYMENT_SIZE","LOCATION_SALES_VOLUME_CODE","ACTUAL_LOCATION_SALES_VOLUME","CORPORATE_SALES_VOLUME_CODE","ACTUAL_CORPORATE_SALES_VOLUME","ASSET_SIZE","LAST_NAME","FIRST_NAME","SALUTATION","GENDER","PROFESSIONAL_TITLE","TITLE_CODE","TITLE_DESC","ETHNICITY_CODE","KEY_CODE","TITLE_ADDRESS","INFOUSA ID","INFOUSA SUBSIDIARY ID","INFOUSA PARENT ID","HQ_BRANCH_CODE","PUBLIC_COMPANY_INDICATOR_CODE","INDIVIDUAL_FIRM_CODE","YEAR_SIC_ADDED","YEAR_FIRST_APPEARED_IN_YELLOW_PAGES","YEAR_ESTABLISHED","TRANSACTION_DATE","TRANSACTION_TYPE","FILLER","CALL_STATUS_CODE","CREDIT_SCORE_CODE","AD_SIZE_CODE","OFFICE_SIZE_CODE","POPULATION_CODE","WORK_AT_HOME_BUSINESS","RADIAL_DISTANCE_FROM_TARGET_ELEMENT","DELIVERY_POINT_BAR_CODE","PRESORT_ENDORSEMENT_LINE","PRESORT_BAG_NUMBER","PRESORT_BUNDLE_NUMBER","PRESORT LINE OF TRAVEL","PRODUCTION_DATE","OBSOLESCENCE DATE","PRODUCTION_DATE1","SOURCE","END OF RECORD MARKER"
,"ALASKA MINI STORAGE","2800 PACIFIC PL","FAIRBANKS","AK",99709,5300,"99709-5300","C065",2,90,,,,,,"907-474-0994",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175765700,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"STEESE MINI STORAGE LLC","350 OLD STEESE HWY N","FAIRBANKS","AK",99712,1623,"99712-1623","H029",2,90,,,,,,"907-457-2814",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616603601,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"TOK MINI STORAGE","PO BOX 34","TOK","AK",99780,34,"99780-0034","B001",2,240,,,,,,"907-883-5546",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473718849,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"AIRPORT MINI STORAGE","8600 AIRPORT BLVD","JUNEAU","AK",99801,8066,"99801-8066","R018",2,110,,,,,,"907-789-0580",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574153664,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"D & L RENTALS","1750 ANKA ST","JUNEAU","AK",99801,9517,"99801-9517","R021",2,110,,,,,,"907-780-6860",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718257686,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"DELTA STORAGE","2425 INDUSTRIAL BLVD","JUNEAU","AK",99801,8534,"99801-8534","R019",2,110,,,,,,"907-789-0301",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420019259,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"F & R MINI-STORAGE","2114 RADCLIFFE RD","JUNEAU","AK",99801,9334,"99801-9334","R011",2,110,,,,,,"907-789-7274",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420021578,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"RELIABLE FREIGHT FORWARDING","8717 MALLARD ST","JUNEAU","AK",99801,8052,"99801-8052","R018",2,110,,,,,,"907-789-1490",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175814375,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"WORLD WIDE MOVERS INC","3141 CHANNEL DR # 200","JUNEAU","AK",99801,7815,"99801-7815","R013",2,110,,,,,,"907-586-1642",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175817386,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"J & D MINI STORAGE RENTAL","PO BOX 711","HAINES","AK",99827,711,"99827-0711","B010",2,100,,,,,,"907-766-3398",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939637286,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"PORT CHILKOOT CO","PO BOX 271","HAINES","AK",99827,271,"99827-0271","B004",2,100,,,,,,"907-766-2160",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495291791,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"STORAGE & WAREHOUSE","PO BOX 854","HAINES","AK",99827,854,"99827-0854","B012",2,100,,,,,,"907-766-2130",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574705083,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"B & G HEATED MINI STORAGE","PO BOX 1681","PETERSBURG","AK",99833,1681,"99833-1681","B022",2,280,,,,,,"907-772-9359",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939639191,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"HPR HEATED MINI STORAGE","PO BOX 895","SITKA","AK",99835,895,"99835-0895","B012",2,220,,,,,,"907-747-3604",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175825686,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"NOTHERN MARINE MAINTENANCE","PO BOX 2335","SITKA","AK",99835,2335,"99835-2335","B030",2,220,,,,,,"907-747-3114",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573481546,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"BEAR VALLEY MINI STORAGE","833 SCHOENBAR RD","KETCHIKAN","AK",99901,6224,"99901-6224","C001",2,130,,,,,,"907-225-1222",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175829548,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"C & E BRADLEY INC","PO BOX 8518","KETCHIKAN","AK",99901,3518,"99901-3518","B046",2,130,,,,,,"907-225-5551",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877596684,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"STOR-RITE STORAGE","PO BOX 1360","WARD COVE","AK",99928,1360,"99928-1360","B011",2,130,,,,,,"907-225-3443",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877593087,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
,"A A MINI STORAGE","PO BOX 2083","WRANGELL","AK",99929,2083,"99929-2083","B017",2,280,,,,,,"907-874-2729",,422503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495292534,,,,,,,,,,,,,,,,,,,,,,,,20100325,09/25/10,03/25/10,"infoUSA",
